"Site","GName","YLD_Mean","YLD_StdErrMean","YLD_sigma2","YLD_No.rep"
"E3","GEN8",1378.5,197.220842287751,100745.155378971,3
"E3","GEN9",1852,197.220842287751,100745.155378971,3
"E4","GEN1",1282,122.32834145777,22870.0514722667,3
"E4","GEN10",1856,122.32834145777,22870.0514722667,3
"E4","GEN11",1330.5,122.32834145777,22870.0514722667,3
"E4","GEN12",1959,122.32834145777,22870.0514722667,3
"E4","GEN13",2157,122.32834145777,22870.0514722667,3
"E4","GEN14",1681.5,122.32834145777,22870.0514722667,3
"E4","GEN15",2099.99999999999,122.32834145777,22870.0514722667,3
"E4","GEN2",1284.5,122.32834145777,22870.0514722667,3
"E4","GEN3",1606.5,122.32834145777,22870.0514722667,3
"E4","GEN4",2254,122.32834145777,22870.0514722667,3
"E4","GEN5",1478.5,122.32834145777,22870.0514722667,3
"E4","GEN6",2671.5,122.32834145777,22870.0514722667,3
"E4","GEN7",1950.5,122.32834145777,22870.0514722667,3
"E4","GEN8",2010,122.32834145777,22870.0514722667,3
"E4","GEN9",1285.5,122.32834145777,22870.0514722667,3
"E5","GEN1",332.5,119.969040168558,43177.7117807188,3
"E5","GEN10",1008.8,119.969040168558,43177.7117807188,3
"E5","GEN11",1123.26666666667,119.969040168558,43177.7117807188,3
"E5","GEN12",938.566666666667,119.969040168558,43177.7117807188,3
"E5","GEN13",1675.9,119.969040168558,43177.7117807188,3
"E5","GEN14",1247.93333333333,119.969040168558,43177.7117807188,3
"E5","GEN15",1818.06666666667,119.969040168558,43177.7117807188,3
"E5","GEN2",1405.53333333333,119.969040168558,43177.7117807188,3
"E5","GEN3",250.933333333333,119.969040168558,43177.7117807188,3
"E5","GEN4",407.1,119.969040168558,43177.7117807188,3
"E5","GEN5",482.166666666667,119.969040168558,43177.7117807188,3
"E5","GEN6",344.166666666667,119.969040168558,43177.7117807188,3
"E5","GEN7",482.166666666667,119.969040168558,43177.7117807188,3
"E5","GEN8",844.566666666667,119.969040168558,43177.7117807188,3
"E5","GEN9",537.866666666667,119.969040168558,43177.7117807188,3
"E6","GEN1",1777.76666666667,297.150822405957,236377.084356566,3
"E6","GEN10",2422.16666666667,297.150822405957,236377.084356566,3
"E6","GEN11",4333.3,297.150822405957,236377.084356566,3
"E6","GEN12",4033.43333333333,297.150822405957,236377.084356566,3
"E6","GEN13",3166.63333333333,297.150822405957,236377.084356566,3
"E6","GEN14",2999.96666666667,297.150822405957,236377.084356566,3
"E6","GEN15",4166.63333333333,297.150822405957,236377.084356566,3
"E6","GEN2",4000,297.150822405957,236377.084356566,3
"E6","GEN3",2333.3,297.150822405957,236377.084356566,3
"E6","GEN4",388.866666666667,297.150822405957,236377.084356566,3
"E6","GEN5",1388.86666666667,297.150822405957,236377.084356566,3
"E6","GEN6",1722.2,297.150822405957,236377.084356566,3
"E6","GEN7",1444.4,297.150822405957,236377.084356566,3
"E6","GEN8",2333.3,297.150822405957,236377.084356566,3
"E6","GEN9",3211.06666666667,297.150822405957,236377.084356566,3
"E7","GEN1",499.533333333333,52.0191560619597,8117.97778951574,3
"E7","GEN10",1530.26666666667,52.0191560619597,8117.97778951574,3
"E7","GEN11",373.233333333333,52.0191560619597,8117.97778951574,3
"E7","GEN12",566.166666666667,52.0191560619597,8117.97778951574,3
"E7","GEN13",1013.93333333333,52.0191560619597,8117.97778951574,3
"E7","GEN14",1426.83333333333,52.0191560619597,8117.97778951574,3
"E7","GEN15",508.766666666667,52.0191560619597,8117.97778951574,3
"E7","GEN2",526.6,52.0191560619597,8117.97778951574,3
"E7","GEN3",1179.83333333333,52.0191560619597,8117.97778951574,3
"E7","GEN4",1611.63333333333,52.0191560619597,8117.97778951574,3
"E7","GEN5",647.3,52.0191560619597,8117.97778951574,3
"E7","GEN6",1413.6,52.0191560619597,8117.97778951574,3
"E7","GEN7",1160.56666666667,52.0191560619597,8117.97778951574,3
"E7","GEN8",471.833335766667,52.0191560619597,8117.97778951574,3
"E7","GEN9",1008,52.0191560619597,8117.97778951574,3
"E8","GEN1",293.686666666667,35.3406801671772,3746.89102287643,3
"E8","GEN10",716.866666666667,35.3406801671772,3746.89102287643,3
"E8","GEN11",277.233333333333,35.3406801671772,3746.89102287643,3
"E8","GEN12",330.5,35.3406801671772,3746.89102287643,3
"E8","GEN13",567.333333333333,35.3406801671772,3746.89102287643,3
"E8","GEN14",675.833333333333,35.3406801671772,3746.89102287643,3
"E8","GEN15",288.1,35.3406801671772,3746.89102287643,3
"E8","GEN2",293.293333333333,35.3406801671772,3746.89102287643,3
"E8","GEN3",533.966666666667,35.3406801671772,3746.89102287643,3
"E8","GEN4",708.033333333333,35.3406801671772,3746.89102287643,3
"E8","GEN5",320.166666666667,35.3406801671772,3746.89102287643,3
"E8","GEN6",731,35.3406801671772,3746.89102287643,3
"E8","GEN7",524.5,35.3406801671772,3746.89102287643,3
"E8","GEN8",217.733333333333,35.3406801671772,3746.89102287643,3
"E8","GEN9",274,35.3406801671772,3746.89102287643,3
"E9","GEN1",4118.66666666667,113.560687023916,38688.0888976506,3
"E9","GEN10",1331.33333333333,113.560687023916,38688.0888976506,3
"E9","GEN11",3719.33333333333,113.560687023916,38688.0888976506,3
"E9","GEN12",3816,113.560687023916,38688.0888976506,3
"E9","GEN13",1450.33333333333,113.560687023916,38688.0888976506,3
"E9","GEN14",3495.33333333333,113.560687023916,38688.0888976506,3
"E9","GEN15",2415,113.560687023916,38688.0888976506,3
"E9","GEN2",2392.66666666667,113.560687023916,38688.0888976506,3
"E9","GEN3",4315.33333333333,113.560687023916,38688.0888976506,3
"E9","GEN4",1720.66666666667,113.560687023916,38688.0888976506,3
"E9","GEN5",2050.33333333333,113.560687023916,38688.0888976506,3
"E9","GEN6",2970.33333333333,113.560687023916,38688.0888976506,3
"E9","GEN7",1398.33333333333,113.560687023916,38688.0888976506,3
"E9","GEN8",2526.66666666667,113.560687023916,38688.0888976506,3
"E9","GEN9",1489.33333333333,113.560687023916,38688.0888976506,3
